 time            v(conn_pin)     v(mcu_pin)      v_am_rs#branch 
 6.09800000e-07  3.58652410e+00  3.57066954e+00  1.58545569e-05 
 6.14800000e-07  3.60208739e+00  3.58640037e+00  1.56870209e-05 
 6.19800000e-07  3.61748539e+00  3.60196430e+00  1.55210925e-05 
 6.24800000e-07  3.63271968e+00  3.61736292e+00  1.53567614e-05 
 6.29800000e-07  3.64779185e+00  3.63259783e+00  1.51940169e-05 
 6.34800000e-07  3.66270347e+00  3.64767062e+00  1.50328482e-05 
 6.39800000e-07  3.67745610e+00  3.66258285e+00  1.48732447e-05 
 6.44800000e-07  3.69205129e+00  3.67733609e+00  1.47151954e-05 
 6.49800000e-07  3.70649058e+00  3.69193189e+00  1.45586893e-05 
 6.54800000e-07  3.72077550e+00  3.70637179e+00  1.44037156e-05 
 6.59800000e-07  3.73490757e+00  3.72065731e+00  1.42502631e-05 
 6.64800000e-07  3.74888830e+00  3.73478998e+00  1.40983207e-05 
 6.69800000e-07  3.76271917e+00  3.74877129e+00  1.39478772e-05 
 6.74800000e-07  3.77640167e+00  3.76260275e+00  1.37989216e-05 
 6.79800000e-07  3.78993728e+00  3.77628584e+00  1.36514425e-05 
 6.84800000e-07  3.80332746e+00  3.78982203e+00  1.35054287e-05 
 6.89800000e-07  3.81657365e+00  3.80321278e+00  1.33608689e-05 
 6.94800000e-07  3.82967730e+00  3.81645955e+00  1.32177518e-05 
 6.99800000e-07  3.84263983e+00  3.82956376e+00  1.30760661e-05 
 7.04800000e-07  3.85546266e+00  3.84252686e+00  1.29358006e-05 
 7.09800000e-07  3.86814719e+00  3.85535025e+00  1.27969438e-05 
 7.14800000e-07  3.88069482e+00  3.86803533e+00  1.26594844e-05 
 7.19800000e-07  3.89310692e+00  3.88058351e+00  1.25234112e-05 
 7.24800000e-07  3.90538488e+00  3.89299616e+00  1.23887127e-05 
 7.29800000e-07  3.91753004e+00  3.90527466e+00  1.22553778e-05 
 7.34800000e-07  3.92954376e+00  3.91742036e+00  1.21233950e-05 
 7.39800000e-07  3.94142737e+00  3.92943462e+00  1.19927532e-05 
 7.44800000e-07  3.95318220e+00  3.94131876e+00  1.18634410e-05 
 7.49800000e-07  3.96480956e+00  3.95307412e+00  1.17354473e-05 
 7.54800000e-07  3.97631076e+00  3.96470200e+00  1.16087608e-05 
 7.59800000e-07  3.98768709e+00  3.97620372e+00  1.14833703e-05 
 7.64800000e-07  3.99893982e+00  3.98758056e+00  1.13592646e-05 
 7.69800000e-07  4.01007023e+00  3.99883380e+00  1.12364327e-05 
 7.74800000e-07  4.02107958e+00  4.00996472e+00  1.11148635e-05 
 7.79800000e-07  4.03196911e+00  4.02097457e+00  1.09945459e-05 
 7.84800000e-07  4.04274006e+00  4.03186459e+00  1.08754689e-05 
 7.89800000e-07  4.05339366e+00  4.04263604e+00  1.07576216e-05 
 7.94800000e-07  4.06393112e+00  4.05329013e+00  1.06409929e-05 
 7.99800000e-07  4.07435364e+00  4.06382807e+00  1.05255721e-05 
 8.04800000e-07  4.08466242e+00  4.07425107e+00  1.04113483e-05 
 8.09800000e-07  4.09485863e+00  4.08456032e+00  1.02983106e-05 
 8.14800000e-07  4.10494346e+00  4.09475701e+00  1.01864485e-05 
 8.19800000e-07  4.11491806e+00  4.10484231e+00  1.00757511e-05 
 8.24800000e-07  4.12478358e+00  4.11481737e+00  9.96620793e-06 
 8.29800000e-07  4.13454115e+00  4.12468335e+00  9.85780830e-06 
 8.34800000e-07  4.14419192e+00  4.13444138e+00  9.75054172e-06 
 8.39800000e-07  4.15373700e+00  4.14409260e+00  9.64439773e-06 
 8.44800000e-07  4.16317749e+00  4.15363813e+00  9.53936590e-06 
 8.49800000e-07  4.17251450e+00  4.16307906e+00  9.43543590e-06 
 8.54800000e-07  4.18174910e+00  4.17241651e+00  9.33259743e-06 
 8.59800000e-07  4.19088239e+00  4.18165155e+00  9.23084025e-06 
 8.64800000e-07  4.19991542e+00  4.19078527e+00  9.13015419e-06 
 8.69800000e-07  4.20884926e+00  4.19981873e+00  9.03052915e-06 
 8.74800000e-07  4.21768494e+00  4.20875299e+00  8.93195508e-06 
 8.79800000e-07  4.22642352e+00  4.21758909e+00  8.83442199e-06 
 8.84800000e-07  4.23506600e+00  4.22632808e+00  8.73791996e-06 
 8.89800000e-07  4.24361342e+00  4.23497098e+00  8.64243915e-06 
 8.94800000e-07  4.25206678e+00  4.24351881e+00  8.54796975e-06 
 8.99800000e-07  4.26042707e+00  4.25197257e+00  8.45450205e-06 
 9.04800000e-07  4.26869529e+00  4.26033327e+00  8.36202639e-06 
 9.09800000e-07  4.27687242e+00  4.26860188e+00  8.27053317e-06 
 9.14800000e-07  4.28495942e+00  4.27677940e+00  8.18001287e-06 
 9.19800000e-07  4.29295725e+00  4.28486679e+00  8.09045603e-06 
 9.24800000e-07  4.30086686e+00  4.29286501e+00  8.00185327e-06 
 9.29800000e-07  4.30868920e+00  4.30077500e+00  7.91419526e-06 
 9.34800000e-07  4.31642520e+00  4.30859772e+00  7.82747275e-06 
 9.39800000e-07  4.32407577e+00  4.31633409e+00  7.74167654e-06 
 9.44800000e-07  4.33164184e+00  4.32398504e+00  7.65679754e-06 
 9.49800000e-07  4.33912430e+00  4.33155147e+00  7.57282667e-06 
 9.54800000e-07  4.34652406e+00  4.33903430e+00  7.48975498e-06 
 9.59800000e-07  4.35384199e+00  4.34643442e+00  7.40757354e-06 
 9.64800000e-07  4.36107899e+00  4.35375271e+00  7.32627351e-06 
 9.69800000e-07  4.36823591e+00  4.36099006e+00  7.24584612e-06 
 9.74800000e-07  4.37531362e+00  4.36814733e+00  7.16628268e-06 
 9.79800000e-07  4.38231296e+00  4.37522539e+00  7.08757453e-06 
 9.84800000e-07  4.38923479e+00  4.38222508e+00  7.00971312e-06 
 9.89800000e-07  4.39607994e+00  4.38914725e+00  6.93268996e-06 
 9.94800000e-07  4.40284923e+00  4.39599273e+00  6.85649660e-06 
 9.99800000e-07  4.40954348e+00  4.40276236e+00  6.78112471e-06 
 1.00480000e-06  4.41616351e+00  4.40945694e+00  6.70656597e-06 
