 frequency       z_mag          
 5.30884444e+04  1.20120000e+02 
 5.37031796e+04  1.20120000e+02 
 5.43250331e+04  1.20120000e+02 
 5.49540874e+04  1.20120000e+02 
 5.55904257e+04  1.20120000e+02 
 5.62341325e+04  1.20120000e+02 
 5.68852931e+04  1.20120000e+02 
 5.75439937e+04  1.20120000e+02 
 5.82103218e+04  1.20120000e+02 
 5.88843655e+04  1.20120000e+02 
 5.95662144e+04  1.20120000e+02 
 6.02559586e+04  1.20120000e+02 
 6.09536897e+04  1.20120000e+02 
 6.16595002e+04  1.20120000e+02 
 6.23734835e+04  1.20120000e+02 
 6.30957344e+04  1.20120000e+02 
 6.38263486e+04  1.20120000e+02 
 6.45654229e+04  1.20120000e+02 
 6.53130553e+04  1.20120000e+02 
 6.60693448e+04  1.20120000e+02 
 6.68343918e+04  1.20120000e+02 
 6.76082975e+04  1.20120000e+02 
 6.83911647e+04  1.20120000e+02 
 6.91830971e+04  1.20120000e+02 
 6.99841996e+04  1.20120000e+02 
 7.07945784e+04  1.20120000e+02 
 7.16143410e+04  1.20120000e+02 
 7.24435960e+04  1.20120000e+02 
 7.32824533e+04  1.20120000e+02 
 7.41310241e+04  1.20120000e+02 
 7.49894209e+04  1.20120000e+02 
 7.58577575e+04  1.20120000e+02 
 7.67361489e+04  1.20120000e+02 
 7.76247117e+04  1.20120000e+02 
 7.85235635e+04  1.20120000e+02 
 7.94328235e+04  1.20120000e+02 
 8.03526122e+04  1.20120000e+02 
 8.12830516e+04  1.20120000e+02 
 8.22242650e+04  1.20120000e+02 
 8.31763771e+04  1.20120000e+02 
 8.41395142e+04  1.20120000e+02 
 8.51138038e+04  1.20120000e+02 
 8.60993752e+04  1.20120000e+02 
 8.70963590e+04  1.20120000e+02 
 8.81048873e+04  1.20120000e+02 
 8.91250938e+04  1.20120000e+02 
 9.01571138e+04  1.20120000e+02 
 9.12010839e+04  1.20120000e+02 
 9.22571427e+04  1.20120000e+02 
 9.33254301e+04  1.20120000e+02 
 9.44060876e+04  1.20120000e+02 
 9.54992586e+04  1.20120000e+02 
 9.66050879e+04  1.20120000e+02 
 9.77237221e+04  1.20120000e+02 
 9.88553095e+04  1.20120000e+02 
 1.00000000e+05  1.20120000e+02 
 1.01157945e+05  1.20120000e+02 
 1.02329299e+05  1.20120000e+02 
 1.03514217e+05  1.20120000e+02 
 1.04712855e+05  1.20120000e+02 
 1.05925373e+05  1.20120000e+02 
 1.07151931e+05  1.20120000e+02 
 1.08392691e+05  1.20120000e+02 
 1.09647820e+05  1.20120000e+02 
 1.10917482e+05  1.20120000e+02 
 1.12201845e+05  1.20120000e+02 
 1.13501082e+05  1.20120000e+02 
 1.14815362e+05  1.20120000e+02 
 1.16144861e+05  1.20120000e+02 
 1.17489755e+05  1.20120000e+02 
 1.18850223e+05  1.20120000e+02 
 1.20226443e+05  1.20120000e+02 
 1.21618600e+05  1.20120000e+02 
 1.23026877e+05  1.20120000e+02 
 1.24451461e+05  1.20120000e+02 
 1.25892541e+05  1.20120000e+02 
 1.27350308e+05  1.20120000e+02 
 1.28824955e+05  1.20120000e+02 
 1.30316678e+05  1.20120000e+02 
 1.31825674e+05  1.20120000e+02 
 1.33352143e+05  1.20120000e+02 
 1.34896288e+05  1.20120000e+02 
 1.36458314e+05  1.20120000e+02 
 1.38038426e+05  1.20120000e+02 
 1.39636836e+05  1.20120000e+02 
 1.41253754e+05  1.20120000e+02 
 1.42889396e+05  1.20120000e+02 
 1.44543977e+05  1.20120000e+02 
 1.46217717e+05  1.20120000e+02 
 1.47910839e+05  1.20120000e+02 
 1.49623566e+05  1.20120000e+02 
 1.51356125e+05  1.20120000e+02 
 1.53108746e+05  1.20120000e+02 
 1.54881662e+05  1.20120000e+02 
 1.56675107e+05  1.20120000e+02 
 1.58489319e+05  1.20120000e+02 
 1.60324539e+05  1.20120000e+02 
 1.62181010e+05  1.20120000e+02 
 1.64058977e+05  1.20120000e+02 
 1.65958691e+05  1.20120000e+02 
 1.67880402e+05  1.20120000e+02 
 1.69824365e+05  1.20120000e+02 
 1.71790839e+05  1.20120000e+02 
 1.73780083e+05  1.20120000e+02 
 1.75792361e+05  1.20120000e+02 
 1.77827941e+05  1.20120000e+02 
 1.79887092e+05  1.20120000e+02 
 1.81970086e+05  1.20120000e+02 
 1.84077200e+05  1.20120000e+02 
 1.86208714e+05  1.20120000e+02 
 1.88364909e+05  1.20120000e+02 
 1.90546072e+05  1.20120000e+02 
 1.92752491e+05  1.20120000e+02 
 1.94984460e+05  1.20120000e+02 
 1.97242274e+05  1.20120000e+02 
 1.99526231e+05  1.20120000e+02 
 2.01836636e+05  1.20120000e+02 
 2.04173794e+05  1.20120000e+02 
 2.06538016e+05  1.20120000e+02 
 2.08929613e+05  1.20120000e+02 
 2.11348904e+05  1.20120000e+02 
 2.13796209e+05  1.20120000e+02 
 2.16271852e+05  1.20120000e+02 
 2.18776162e+05  1.20120000e+02 
 2.21309471e+05  1.20120000e+02 
 2.23872114e+05  1.20120000e+02 
 2.26464431e+05  1.20120000e+02 
 2.29086765e+05  1.20120000e+02 
 2.31739465e+05  1.20120000e+02 
 2.34422882e+05  1.20120000e+02 
 2.37137371e+05  1.20120000e+02 
 2.39883292e+05  1.20120000e+02 
 2.42661010e+05  1.20120000e+02 
 2.45470892e+05  1.20120000e+02 
 2.48313311e+05  1.20120000e+02 
 2.51188643e+05  1.20120000e+02 
 2.54097271e+05  1.20120000e+02 
 2.57039578e+05  1.20120000e+02 
 2.60015956e+05  1.20120000e+02 
 2.63026799e+05  1.20120000e+02 
 2.66072506e+05  1.20120000e+02 
 2.69153480e+05  1.20120000e+02 
 2.72270131e+05  1.20120000e+02 
 2.75422870e+05  1.20120000e+02 
 2.78612117e+05  1.20120000e+02 
 2.81838293e+05  1.20120000e+02 
 2.85101827e+05  1.20120000e+02 
 2.88403150e+05  1.20120000e+02 
 2.91742701e+05  1.20120000e+02 
 2.95120923e+05  1.20120000e+02 
 2.98538262e+05  1.20120000e+02 
 3.01995172e+05  1.20120000e+02 
 3.05492111e+05  1.20120000e+02 
 3.09029543e+05  1.20120000e+02 
 3.12607937e+05  1.20120000e+02 
 3.16227766e+05  1.20120000e+02 
 3.19889511e+05  1.20120000e+02 
 3.23593657e+05  1.20120000e+02 
 3.27340695e+05  1.20120000e+02 
 3.31131121e+05  1.20120000e+02 
 3.34965439e+05  1.20120000e+02 
 3.38844156e+05  1.20120000e+02 
 3.42767787e+05  1.20120000e+02 
 3.46736850e+05  1.20120000e+02 
 3.50751874e+05  1.20120000e+02 
 3.54813389e+05  1.20120000e+02 
 3.58921935e+05  1.20120000e+02 
