 time            v(conn_pin)     v(gate)         v(gate_drive)  
 6.79079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.84079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.89079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.94079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.99079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.04079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.09079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.14079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.19079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.24079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.29079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.34079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.39079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.44079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.49079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.54079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.59079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.64079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.69079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.74079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.79079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.84079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.89079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.94079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 7.99079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.04079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.09079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.14079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.19079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.24079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.29079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.34079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.39079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.44079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.49079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.54079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.59079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.64079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.69079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.74079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.79079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.84079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.89079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.94079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 8.99079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.04079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.09079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.14079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.19079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.24079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.29079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.34079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.39079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.44079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.49079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.54079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.59079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.64079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.69079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.74079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.79079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.84079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.89079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.94079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 9.99079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.00407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.00907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.01407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.01907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.02407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.02907996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 1.03407996e-06  3.72221007e-05  3.30000000e+00  3.30000000e+00 
