 time            v(conn_pin)     v(gate)         v(mcu_gpio)     v_am_esd#branch
 5.56214038e-06  8.68000250e+00 -3.09192698e-08  0.00000000e+00 -3.31962949e+00 
 5.66214038e-06  8.68000250e+00  1.06575945e-07  0.00000000e+00 -3.31962949e+00 
 5.76214038e-06  8.68000250e+00  1.11907883e-07  0.00000000e+00 -3.31962949e+00 
 5.86214038e-06  8.68000250e+00  1.08107008e-07  0.00000000e+00 -3.31962949e+00 
 5.96214038e-06  8.68000250e+00  1.07435111e-07  0.00000000e+00 -3.31962949e+00 
 6.06214038e-06  8.68000250e+00  1.07471534e-07  0.00000000e+00 -3.31962949e+00 
 6.16214038e-06  8.68000250e+00  1.07498288e-07  0.00000000e+00 -3.31962949e+00 
 6.26214038e-06  8.68000250e+00  1.07500596e-07  0.00000000e+00 -3.31962949e+00 
 6.36214038e-06  8.68000250e+00  1.07500023e-07  0.00000000e+00 -3.31962949e+00 
 6.46214038e-06  8.68000250e+00  1.07499872e-07  0.00000000e+00 -3.31962949e+00 
 6.56214038e-06  8.68000250e+00  1.07499871e-07  0.00000000e+00 -3.31962949e+00 
 6.66214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 6.76214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 6.86214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 6.96214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 7.06214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 7.16214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 7.26214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 7.36214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 7.46214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 7.56214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 7.66214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 7.76214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 7.86214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 7.96214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 8.06214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 8.16214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 8.26214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 8.36214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 8.46214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 8.56214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 8.66214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 8.76214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 8.86214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 8.96214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 9.06214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 9.16214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 9.26214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 9.36214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 9.46214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 9.56214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 9.66214038e-06  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 9.76214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 9.86214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 9.96214038e-06  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.00621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.01621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.02621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.03621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.04621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.05621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.06621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.07621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.08621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.09621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.10621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.11621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.12621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.13621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.14621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.15621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.16621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.17621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.18621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.19621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.20621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.21621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.22621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.23621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.24621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.25621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.26621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.27621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.28621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.29621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.30621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.31621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.32621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.33621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.34621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.35621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.36621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.37621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.38621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.39621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.40621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.41621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.42621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.43621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.44621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.45621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.46621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.47621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.48621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.49621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.50621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.51621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.52621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.53621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.54621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.55621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.56621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.57621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.58621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.59621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.60621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.61621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.62621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.63621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.64621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.65621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.66621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.67621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.68621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.69621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.70621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
 1.71621404e-05  8.68000250e+00  1.07499877e-07  0.00000000e+00 -3.31962949e+00 
 1.72621404e-05  8.68000250e+00  1.07499876e-07  0.00000000e+00 -3.31962949e+00 
